Global Time,Fuel Rail Pressure,Turbo Inlet Pressure Mean,Engine Speed,Intake Manifold Pressure,Engine Fuel Rate,Intake Manifold Air Temperature,Exhaust Left 1 Temp,Trans Gear,Intake Manifold #2 Air Temperature
,,,,,,,,,,
2021-06-17 23:47:58,70000.0,97.44,702.0,0.9,19.75,30.4,161.0,8192.0,27.3
2021-06-17 23:47:59.000001,70000.0,97.44749999999999,672.0,0.9,21.9,30.4,161.0,16385.0,27.3
2021-06-17 23:48:00,69000.0,97.4625,678.5,1.4,29.45,30.4,161.0,16385.0,27.3
2021-06-17 23:48:01,72000.0,97.44749999999999,692.0,1.8,32.45,30.4,162.0,16385.0,27.3
2021-06-17 23:48:01.999999,71000.0,97.44749999999999,696.5,2.0,33.5,30.4,164.0,16385.0,27.3
2021-06-17 23:48:03,76000.0,97.44749999999999,845.0,2.3,154.7,30.4,167.0,16385.0,27.3
2021-06-17 23:48:04,125000.0,97.36749999999999,1018.0,4.5,98.85,30.4,175.0,16385.0,27.3
2021-06-17 23:48:04.999999,129000.0,97.33500000000001,997.5,6.3,51.5,30.4,188.0,16385.0,27.3
2021-06-17 23:48:06,122000.0,97.3775,759.0,6.0,2.5,30.4,200.0,16385.0,27.2
2021-06-17 23:48:07,97000.0,97.425,624.5,4.7,26.15,30.3,207.0,16385.0,27.2
2021-06-17 23:48:08,72000.0,97.44749999999999,684.0,3.4,26.85,30.3,209.0,16385.0,27.2
2021-06-17 23:48:09,71000.0,97.44749999999999,786.5,2.9,147.25,30.3,211.0,16385.0,27.1
2021-06-17 23:48:10,116000.0,97.33500000000001,1078.5,4.5,207.35,30.3,214.0,16385.0,27.1
2021-06-17 23:48:11,145000.0,97.2575,1214.0,9.5,232.8,30.3,227.0,16385.0,27.1
2021-06-17 23:48:12,174000.0,97.2025,1296.5,16.1,167.25,30.2,244.0,16385.0,27.1
2021-06-17 23:48:13,132000.0,97.085,1340.0,20.0,169.0,30.2,262.0,16385.0,27.0
2021-06-17 23:48:14,137000.0,96.97749999999999,1507.0,27.9,241.0,30.1,279.0,16897.0,27.0
2021-06-17 23:48:15.000001,122000.0,96.7425,1585.5,47.1,296.75,30.0,299.0,16897.0,26.9
2021-06-17 23:48:16,128000.0,96.35249999999999,1766.5,67.9,308.9,29.9,322.0,16897.0,26.8
2021-06-17 23:48:17,137000.0,95.8,1919.5,89.9,308.1,29.8,345.0,16897.0,26.8
2021-06-17 23:48:18.000001,188000.0,95.7825,1820.0,71.6,49.1,29.6,366.0,16898.0,26.7
2021-06-17 23:48:19,140000.0,96.41499999999999,1716.0,59.0,158.95,29.5,377.0,16898.0,26.6
